Num_Time,Matlab_time,Close
20100930,734411,2953.4
20101008,734419,3054.2
20101011,734422,3137.6
20101012,734423,3154.6
20101013,734424,3206.8
20101014,734425,3230.8
20101015,734426,3310.6
20101018,734429,3329.4
20101019,734430,3423.8
20101020,734431,3458.2
20101021,734432,3448.8
20101022,734433,3465.4
20101025,734436,3606
20101026,734437,3558.2
20101027,734438,3488
20101028,734439,3513.8
20101029,734440,3420
20101101,734443,3555.2
20101102,734444,3500.4
20101103,734445,3472.2
20101104,734446,3524.8
20101105,734447,3578
20101108,734450,3579.6
20101109,734451,3545.4
20101110,734452,3525.8
20101111,734453,3502
20101112,734454,3287
20101115,734457,3297.6
20101116,734458,3170
20101117,734459,3102.2
20101118,734460,3151.8
20101119,734461,3121.8
20101122,734464,3189
20101123,734465,3121.4
20101124,734466,3197.4
20101125,734467,3227.6
20101126,734468,3213
20101129,734471,3212
20101130,734472,3153.2
20101201,734473,3145.6
20101202,734474,3167.8
20101203,734475,3175
20101206,734478,3171
20101207,734479,3221.8
20101208,734480,3159.6
20101209,734481,3139.8
20101210,734482,3171.6
20101213,734485,3275.6
20101214,734486,3277.8
20101215,734487,3252.8
20101216,734488,3228.4
20101217,734489,3221.2
20101220,734492,3209.2
20101221,734493,3303.4
20101222,734494,3243.6
20101223,734495,3218.2
20101224,734496,3196.4
20101227,734499,3118.6
20101228,734500,3074.2
20101229,734501,3091.6
20101230,734502,3093.8
20101231,734503,3157
20110104,734507,3192
20110105,734508,3186.8
20110106,734509,3173
20110107,734510,3171
20110110,734513,3122
20110111,734514,3140
20110112,734515,3153.6
20110113,734516,3147
20110114,734517,3097.4
20110117,734520,2971.8
20110118,734521,2974
20110119,734522,3044.6
20110120,734523,2945.4
20110121,734524,2985.4
20110124,734527,2970.2
20110125,734528,2960
20110126,734529,2987.2
20110127,734530,3030.4
20110128,734531,3045.8
20110131,734534,3079.8
20110201,734535,3085.4
20110209,734543,3038.4
20110210,734544,3104.6
20110211,734545,3117.2
20110214,734548,3228.6
20110215,734549,3216
20110216,734550,3245
20110217,734551,3242.2
20110218,734552,3214.4
20110221,734555,3284.2
20110222,734556,3179.4
20110223,734557,3175.2
20110224,734558,3193.2
20110225,734559,3214.6
20110228,734562,3255.2
20110301,734563,3254.4
20110302,734564,3245.4
20110303,734565,3223.6
20110304,734566,3288.6
20110307,734569,3342.2
20110308,734570,3363.4
20110309,734571,3345.4
20110310,734572,3290
20110311,734573,3250.2
20110314,734576,3258.4
20110315,734577,3199.6
20110316,734578,3242.8
20110317,734579,3207.6
20110318,734580,3218.8
20110321,734583,3230
20110322,734584,3231.6
20110323,734585,3269.2
20110324,734586,3267
20110325,734587,3298.4
20110328,734590,3296.6
20110329,734591,3273.8
20110330,734592,3263.6
20110331,734593,3244
20110401,734594,3276.4
20110406,734599,3308
20110407,734600,3323.8
20110408,734601,3366
20110411,734604,3344.6
20110412,734605,3326
20110413,734606,3374.8
20110414,734607,3347.2
20110415,734608,3340.6
20110418,734611,3355.4
20110419,734612,3311.4
20110420,734613,3316
20110421,734614,3320
20110422,734615,3307.8
20110425,734618,3261.2
20110426,734619,3252.8
20110427,734620,3230.2
20110428,734621,3195.2
20110429,734622,3193.2
20110503,734626,3210.4
20110504,734627,3129
20110505,734628,3120.4
20110506,734629,3133
20110509,734632,3137.2
20110510,734633,3149.4
20110511,734634,3139.8
20110512,734635,3090.2
20110513,734636,3127
20110516,734639,3103.8
20110517,734640,3115.4
20110518,734641,3134
20110519,734642,3117
20110520,734643,3122.6
20110523,734646,3022.4
20110524,734647,3023.8
20110525,734648,3015.2
20110526,734649,2992.6
20110527,734650,2981
20110530,734653,2971.8
20110531,734654,2996
20110601,734655,3002.4
20110602,734656,2963
20110603,734657,2986.6
20110607,734661,2995
20110608,734662,3006.8
20110609,734663,2958.2
20110610,734664,2947.6
20110613,734667,2955.2
20110614,734668,2984
20110615,734669,2960.8
20110616,734670,2921
20110617,734671,2915.6
20110620,734674,2883.6
20110621,734675,2901.8
20110622,734676,2897.6
20110623,734677,2961.4
20110624,734678,3039.8
20110627,734681,3038.4
20110628,734682,3041
20110629,734683,3017.6
20110630,734684,3035
20110701,734685,3049.6
20110704,734688,3122
20110705,734689,3119
20110706,734690,3114
20110707,734691,3113.6
20110708,734692,3120.6
20110711,734695,3104.2
20110712,734696,3054.6
20110713,734697,3108
20110714,734698,3114
20110715,734699,3122.4
20110718,734702,3122.8
20110719,734703,3116.8
20110720,734704,3095.2
20110721,734705,3074.8
20110722,734706,3075
20110725,734709,2977.2
20110726,734710,2983.2
20110727,734711,2994.2
20110728,734712,2990.2
20110729,734713,2971.6
20110801,734716,2987.8
20110802,734717,2964
20110803,734718,2960
20110804,734719,2962.6
20110805,734720,2896.2
20110808,734723,2796.2
20110809,734724,2820.2
20110810,734725,2807.8
20110811,734726,2879.6
20110812,734727,2860.4
20110815,734730,2896
20110816,734731,2875.2
20110817,734732,2883
20110818,734733,2839.2
20110819,734734,2793
20110822,734737,2786.2
20110823,734738,2832.2
20110824,734739,2800.4
20110825,734740,2912.8
20110826,734741,2894.6
20110829,734744,2855.4
20110830,734745,2831.8
20110831,734746,2846.8
20110901,734747,2828
20110902,734748,2808.4
20110905,734751,2748.4
20110906,734752,2737.2
20110907,734753,2776
20110908,734754,2762.4
20110909,734755,2750
20110913,734759,2722.8
20110914,734760,2730.6
20110915,734761,2725.8
20110916,734762,2737
20110919,734765,2668.6
20110920,734766,2704.6
20110921,734767,2765.4
20110922,734768,2684.4
20110923,734769,2668.2
20110926,734772,2605.4
20110927,734773,2648.2
20110928,734774,2618.6
20110929,734775,2606.8
20110930,734776,2571.8
20111010,734786,2568
20111011,734787,2553.6
20111012,734788,2635.2
20111013,734789,2654.6
20111014,734790,2656.6
20111017,734793,2663.4
20111018,734794,2594.2
20111019,734795,2584.4
20111020,734796,2523.2
20111021,734797,2515.4
20111024,734800,2576.4
20111025,734801,2622
20111026,734802,2662.8
20111027,734803,2675.8
20111028,734804,2703
20111031,734807,2693.8
20111101,734808,2686.6
20111102,734809,2777
20111103,734810,2747.4
20111104,734811,2773.2
20111107,734814,2755.6
20111108,734815,2741
20111109,734816,2748
20111110,734817,2701
20111111,734818,2694.6
20111114,734821,2752.2
20111115,734822,2740.6
20111116,734823,2677
20111117,734824,2670.6
20111118,734825,2608.8
20111121,734828,2613.6
20111122,734829,2611.2
20111123,734830,2586.4
20111124,734831,2598.2
20111125,734832,2573
20111128,734835,2585
20111129,734836,2602
20111130,734837,2528
20111201,734838,2583
20111202,734839,2564.8
20111205,734842,2536
20111206,734843,2519.4
20111207,734844,2537.2
20111208,734845,2531
20111209,734846,2510.8
20111212,734849,2490.2
20111213,734850,2438.8
20111214,734851,2419
20111215,734852,2343.6
20111216,734853,2352
20111219,734856,2403
20111220,734857,2380.2
20111221,734858,2358.6
20111222,734859,2357.8
20111223,734860,2360.2
20111226,734863,2344
20111227,734864,2321.6
20111228,734865,2321.2
20111229,734866,2322
20111230,734867,2357
20120104,734872,2305.6
20120105,734873,2291
20120106,734874,2297.6
20120109,734877,2376.8
20120110,734878,2462.6
20120111,734879,2445.6
20120112,734880,2445.6
20120113,734881,2410.2
20120116,734884,2352
20120117,734885,2487.4
20120118,734886,2427.4
20120119,734887,2470.2
