<<<<<<< HEAD:data/csi300_index_data.csv
Time,Open Price,High Price,Low Price,Closing Price,Volume,US Dollar Index,SHIBOR,MACD,CCI,ATR,BOLL,EMA20,MA10,MTM6,MA5,MTM12,ROC,SMI,WVAD
20080701,2799.2,2809.38,2690.18,2698.35,288515.85,72.34,2.5006,-213.0785648,-128.9490519,119.2,3173.475692,3033.748201,2851.2504,-91.594,2851.3262,-280.77,-9.424604673,-0.09792686926,-87262783.76
20080702,2702.63,2745.94,2670.06,2699.6,279163.65,71.99,2.7238,-213.7322488,-139.7196883,75.875,3140.413385,3001.924277,2822.0828,-152.318,2797.3382,-252.645,-8.557733411,-0.02649729037,-109549318.6
20080703,2654.48,2807.68,2617.26,2760.61,456603.05,72.73,2.5762,-206.9414058,-112.1130567,190.424,3109.044731,2978.942155,2820.8364,-208.925,2753.2792,-82.064,-2.886857313,-0.03125135981,-58557369.5
20080704,2751.21,2783.85,2716.02,2741.85,379050.1,72.71,2.5632,-200.7591624,-81.99753869,67.825,3073.107115,2956.36214,2810.0548,-239.055,2738.4454,-249.421,-8.338289417,-0.01723656522,-74675032.66
20080707,2747.61,2890.99,2747.61,2882.76,527320.24,72.71,2.5679,-182.3869071,21.70776688,149.133,3046.256923,2949.352699,2819.337,66.742,2756.6342,109.687,3.955427114,0.01070084499,-35311507.84
20080708,2900.57,2939.14,2841.07,2901.84,542480.78,72.96,2.5501,-164.392315,85.61118632,98.07,3018.968885,2944.827775,2824.3296,110.022,2797.333,52.173,1.830844856,-0.02279681984,-28155498.96
20080709,2927,3015.27,2927,3015.13,693569.68,72.59,2.5282,-139.3835911,153.9506571,113.43,2995.480423,2951.522844,2828.8885,316.779,2860.4388,225.185,8.071317637,0.01134911112,58665345.17
20080710,2970.98,3056.91,2950.2,2973.73,616495.54,72.49,2.4904,-121.5038492,126.0770887,106.705,2970.850308,2953.637621,2828.1706,274.131,2903.062,121.813,4.271270357,0.05303343144,68110269.77
20080711,2962.86,2988.2,2913.87,2953.5,442871.01,71.91,2.3473,-107.7246342,76.32693352,74.325,2948.026538,2953.624323,2841.9183,192.886,2945.3912,-16.039,-0.5401178702,0.05474153021,72578271.53
20080714,2927.24,2996.59,2917.02,2975.87,345750.43,71.96,2.3226,-93.91634179,72.43347175,79.569,2927.401,2955.74334,2860.3238,234.022,2964.0134,-5.033,-0.1688412285,0.09325898879,121495919.2
20080715,2987.06,2997.67,2849.2,2852.98,472927.59,71.7,2.3763,-91.83119711,29.1600687,148.467,2902.919346,2945.95626,2875.787,-29.784,2954.241,36.958,1.31241919,0.05376205012,84235135.43
20080716,2818.76,2824.88,2702.66,2745.6,394031.15,72.06,2.4884,-97.71719261,-65.45016572,150.32,2885.189885,2926.874331,2880.3869,-156.245,2900.335,-46.223,-1.655658909,-0.005439373588,70394757.52
20080717,2790.26,2812.99,2705.81,2718.07,326873.35,72.05,2.492,-103.4111071,-65.53624176,107.183,2868.950231,2906.988013,2876.1325,-297.058,2849.203,19.721,0.730854853,-0.008674428817,68930668.32
20080718,2746.54,2818.06,2690.07,2815.46,402034.02,72.17,2.5009,-98.92435517,-43.71035386,127.995,2858.5975,2898.27125,2883.4935,-158.266,2821.5958,115.865,4.291936908,-0.0233460052,97429549.57
20080721,2792.83,2915.29,2780.28,2911.05,451195.77,71.84,2.5052,-86.65641725,16.30681197,135.011,2855.979577,2899.488369,2886.3223,-42.447,2808.6312,150.439,5.449480043,0.003163805787,155067664.5
20080722,2905.28,2931.45,2890.25,2904.74,388149.76,72.43,2.5041,-76.56044973,38.47764243,41.195,2854.152692,2899.98881,2886.6125,-71.131,2818.984,162.891,5.940911472,-0.03660974699,125222045.7
20080723,2923.05,2941.97,2879.19,2883.32,388212.33,72.81,2.5007,-69.48697719,25.42647135,62.787,2855.715923,2898.401305,2873.4319,30.341,2846.5288,0.557,0.01932174098,-0.03040224257,136092066.2
20080724,2905.04,2979.75,2902.98,2977.36,485386.65,72.85,2.5209,-55.65128243,66.44827011,96.428,2855.180885,2905.921371,2873.7953,231.766,2898.3876,75.521,2.602520262,0.008015148981,170834133.6
20080725,2939.32,2967.72,2916.68,2939.2,405710.81,72.81,2.5192,-47.22125055,48.48473741,60.678,2861.570346,2909.090955,2872.3657,221.134,2923.1356,-75.924,-2.518103721,-0.01232310239,173789096.6
20080728,2959.11,2997.6,2946.49,2960.85,393086.4,72.69,2.5167,-38.35140506,68.50486477,58.402,2865.846615,2914.020483,2870.8634,145.389,2933.0956,-12.877,-0.4330254818,0.03643276882,149593899.8
20080729,2921.25,2921.25,2881.05,2905.63,360362.75,73.3,2.5305,-35.37013688,8.137511615,79.801,2870.296192,2913.221389,2876.1285,-5.421,2933.273,-47.868,-1.620722276,0.05507721217,97345714.28
20080730,2940.02,2949.94,2866.03,2884.38,298108,73.3,2.5236,-34.32614459,13.43694403,83.912,2871.545,2910.474971,2890.0073,-20.359,2933.4858,-91.49,-3.074390918,0.0576608385,69599644.93
20080731,2894.25,2899.07,2804.7,2805.21,279409.66,73.2,2.5276,-39.43289541,-48.96489796,94.371,2865.224731,2900.449736,2898.7215,-78.11,2899.0554,-47.769,-1.674355121,-0.003641320678,68717528.67
20080801,2786.12,2868.68,2748.76,2840.79,340314.91,73.37,2.7765,-40.14640224,-56.51173304,119.924,2859.835538,2894.767666,2901.2541,-136.574,2879.3726,95.192,3.467079643,-0.02413664343,81610319.59
20080804,2816.94,2832.9,2767.53,2773.15,227823.24,73.5,2.7898,-45.64353263,-73.89549378,73.259,2858.186654,2883.185031,2887.464,-166.052,2841.8324,55.082,2.02651295,-0.04530280304,90758978.72
20080805,2780.76,2792.74,2695.37,2703.08,304692.35,73.96,2.7902,-55.01995635,-130.6506603,97.37,2854.773577,2866.032076,2867.2976,-257.772,2801.3222,-112.383,-3.991636186,-0.06251161855,67567946.52
20080806,2723.52,2749.1,2679.66,2721.69,274040.22,74.25,2.79,-60.25427174,-137.3734662,69.439,2855.6715,2852.285497,2851.1349,-183.937,2768.784,-189.358,-6.504798439,-0.08587098243,41396924.1
20080807,2717.66,2747.88,2683.41,2720.44,233704.39,74.54,2.7863,-63.76836758,-124.4886833,64.475,2856.473231,2839.728973,2825.4429,-163.942,2751.8304,-184.301,-6.344829818,-0.07442836525,47636495.25
20080808,2719.38,2719.38,2581.81,2591.46,308945.81,75.84,2.7837,-76.08387439,-155.9483699,138.631,2849.967462,2816.0845,2790.6689,-213.748,2701.9652,-291.858,-10.12228958,-0.1247577132,-30798657.96
20080811,2579.81,2580.72,2442.79,2456.81,321202.06,76.27,2.7521,-95.60711334,-191.714051,148.668,2839.004346,2781.867976,2740.2649,-383.977,2638.6974,-520.551,-17.48363148,-0.1544652967,-60144008.91
