'Ntime', 'Time', 'Open_Price', 'Closing_Price', 'High_price', 'Low_Price', 'Volume', 'MACD', 'CCI', 'ATR', 'BOLL_MID', 'EMA20', 'MA5', 'MA10', 'MTM6', 'MTM12', 'ROC', 'SMI', 'WVAD', 'US_dollar_Index', 'Interbank_Offered_Rate' 
20080701.0000,733590.0000,13363.0000,13313.2150,13420.4450,13237.4375,1323946240.0000,-156.8577,-124.6459,183.0075,14015.6427,13813.5511,13475.6880,13689.0010,-526.6025,-969.1075,-6.7619,-0.0554,-35216122.7625,72.4425,0.6029 
20080702.0000,733591.0000,13363.0000,13313.2150,13420.4450,13237.4375,1323946240.0000,-156.8577,-124.6459,183.0075,14015.6427,13813.5511,13475.6880,13689.0010,-526.6025,-969.1075,-6.7619,-0.0554,-35216122.7625,72.4425,0.6029 
20080703.0000,733592.0000,13363.0000,13313.2150,13420.4450,13237.4375,1323946240.0000,-156.8577,-124.6459,183.0075,14015.6427,13813.5511,13475.6880,13689.0010,-526.6025,-969.1075,-6.7619,-0.0554,-35216122.7625,72.4425,0.6029 
20080704.0000,733593.0000,13363.0000,13313.2150,13420.4450,13237.4375,1323946240.0000,-156.8577,-124.6459,183.0075,14015.6427,13813.5511,13475.6880,13689.0010,-526.6025,-969.1075,-6.7619,-0.0554,-35216122.7625,72.4425,0.6029 
20080707.0000,733596.0000,13150.8750,13128.1200,13282.1925,13030.7950,1179840224.0000,-228.3147,-102.3996,269.0825,13862.0627,13609.8217,13224.7315,13395.0423,-315.7075,-816.7000,-5.8576,-0.0460,-53517932.5325,72.6875,0.6021 
20080708.0000,733597.0000,13150.8750,13128.1200,13282.1925,13030.7950,1179840224.0000,-228.3147,-102.3996,269.0825,13862.0627,13609.8217,13224.7315,13395.0423,-315.7075,-816.7000,-5.8576,-0.0460,-53517932.5325,72.6875,0.6021 
20080709.0000,733598.0000,13150.8750,13128.1200,13282.1925,13030.7950,1179840224.0000,-228.3147,-102.3996,269.0825,13862.0627,13609.8217,13224.7315,13395.0423,-315.7075,-816.7000,-5.8576,-0.0460,-53517932.5325,72.6875,0.6021 
20080710.0000,733599.0000,13150.8750,13128.1200,13282.1925,13030.7950,1179840224.0000,-228.3147,-102.3996,269.0825,13862.0627,13609.8217,13224.7315,13395.0423,-315.7075,-816.7000,-5.8576,-0.0460,-53517932.5325,72.6875,0.6021 
20080711.0000,733600.0000,12928.2600,12891.3025,13016.8825,12818.8250,1278140096.0000,-274.6127,-119.6712,225.0650,13654.5264,13402.2072,13015.5315,13144.7283,-332.8050,-778.1925,-5.6915,-0.0361,-40691996.0550,71.9075,0.6013 
20080714.0000,733603.0000,12928.2600,12891.3025,13016.8825,12818.8250,1278140096.0000,-274.6127,-119.6712,225.0650,13654.5264,13402.2072,13015.5315,13144.7283,-332.8050,-778.1925,-5.6915,-0.0361,-40691996.0550,71.9075,0.6013 
20080715.0000,733604.0000,12928.2600,12891.3025,13016.8825,12818.8250,1278140096.0000,-274.6127,-119.6712,225.0650,13654.5264,13402.2072,13015.5315,13144.7283,-332.8050,-778.1925,-5.6915,-0.0361,-40691996.0550,71.9075,0.6013 
20080716.0000,733605.0000,12928.2600,12891.3025,13016.8825,12818.8250,1278140096.0000,-274.6127,-119.6712,225.0650,13654.5264,13402.2072,13015.5315,13144.7283,-332.8050,-778.1925,-5.6915,-0.0361,-40691996.0550,71.9075,0.6013 
20080717.0000,733606.0000,13017.5575,13047.3850,13125.7425,12943.7075,1159791552.0000,-266.4717,-11.0829,247.7950,13470.2012,13240.4210,12900.6320,12986.0305,76.3700,-289.4900,-2.1645,-0.0092,-40276913.3925,72.3650,0.6008 
20080718.0000,733607.0000,13017.5575,13047.3850,13125.7425,12943.7075,1159791552.0000,-266.4717,-11.0829,247.7950,13470.2012,13240.4210,12900.6320,12986.0305,76.3700,-289.4900,-2.1645,-0.0092,-40276913.3925,72.3650,0.6008 
20080722.0000,733611.0000,13017.5575,13047.3850,13125.7425,12943.7075,1159791552.0000,-266.4717,-11.0829,247.7950,13470.2012,13240.4210,12900.6320,12986.0305,76.3700,-289.4900,-2.1645,-0.0092,-40276913.3925,72.3650,0.6008 
20080723.0000,733612.0000,13017.5575,13047.3850,13125.7425,12943.7075,1159791552.0000,-266.4717,-11.0829,247.7950,13470.2012,13240.4210,12900.6320,12986.0305,76.3700,-289.4900,-2.1645,-0.0092,-40276913.3925,72.3650,0.6008 
20080724.0000,733613.0000,13372.8350,13362.8250,13440.6025,13265.7825,1089734784.0000,-133.6620,103.2606,261.7125,13331.1955,13274.1745,13279.3240,13082.0300,548.7875,314.7925,2.4130 ,0.0295 ,-24990997.1475,72.9125,0.6023 
20080725.0000,733614.0000,13372.8350,13362.8250,13440.6025,13265.7825,1089734784.0000,-133.6620,103.2606,261.7125,13331.1955,13274.1745,13279.3240,13082.0300,548.7875,314.7925,2.4130 ,0.0295 ,-24990997.1475,72.9125,0.6023 
20080728.0000,733617.0000,13372.8350,13362.8250,13440.6025,13265.7825,1089734784.0000,-133.6620,103.2606,261.7125,13331.1955,13274.1745,13279.3240,13082.0300,548.7875,314.7925,2.4130 ,0.0295 ,-24990997.1475,72.9125,0.6023 
20080729.0000,733618.0000,13372.8350,13362.8250,13440.6025,13265.7825,1089734784.0000,-133.6620,103.2606,261.7125,13331.1955,13274.1745,13279.3240,13082.0300,548.7875,314.7925,2.4130 ,0.0295 ,-24990997.1475,72.9125,0.6023 
20080730.0000,733619.0000,13259.4050,13193.0925,13312.0150,13117.4600,1307520832.0000,-88.0466,24.2920,241.3725,13227.7772,13269.5805,13284.7960,13236.7128,-165.8975,339.7250,2.6485 ,0.0213 ,-28790938.0250,73.3425,0.6021 
20080731.0000,733620.0000,13259.4050,13193.0925,13312.0150,13117.4600,1307520832.0000,-88.0466,24.2920,241.3725,13227.7772,13269.5805,13284.7960,13236.7128,-165.8975,339.7250,2.6485 ,0.0213 ,-28790938.0250,73.3425,0.6021 
20080801.0000,733621.0000,13259.4050,13193.0925,13312.0150,13117.4600,1307520832.0000,-88.0466,24.2920,241.3725,13227.7772,13269.5805,13284.7960,13236.7128,-165.8975,339.7250,2.6485 ,0.0213 ,-28790938.0250,73.3425,0.6021 
