'Ntime', 'time', 'Close_Price', 'Open_Price', 'High_Price', 'Low_Price', 'Volume', 'MACD', 'CCI', 'ATR', 'BOLL', 'EMA20', 'MA10', 'MTM6', 'MA5', 'MTM12', 'ROC', 'SMI', 'WVAD', 'US_Dollar_Index', 'Federal_Fund_Rate' 
20080701.0000,733590.0000,1265.4100,1272.0925,1280.7275,1253.7200,490884.7500,-28.0042,-117.4403,27.0075,1339.7185,1318.4615,1296.5683,-42.7500,1277.2860,-86.8175,-6.5078,-0.0479,-49713058.4625,72.4425,1.9925 
20080702.0000,733591.0000,1265.4100,1272.0925,1280.7275,1253.7200,490884.7500,-28.0042,-117.4403,27.0075,1339.7185,1318.4615,1296.5683,-42.7500,1277.2860,-86.8175,-6.5078,-0.0479,-49713058.4625,72.4425,1.9925 
20080703.0000,733592.0000,1265.4100,1272.0925,1280.7275,1253.7200,490884.7500,-28.0042,-117.4403,27.0075,1339.7185,1318.4615,1296.5683,-42.7500,1277.2860,-86.8175,-6.5078,-0.0479,-49713058.4625,72.4425,1.9925 
20080707.0000,733596.0000,1265.4100,1272.0925,1280.7275,1253.7200,490884.7500,-28.0042,-117.4403,27.0075,1339.7185,1318.4615,1296.5683,-42.7500,1277.2860,-86.8175,-6.5078,-0.0479,-49713058.4625,72.4425,1.9925 
20080708.0000,733597.0000,1252.8175,1254.7825,1266.6125,1237.3800,594943.5000,-30.3207,-98.8497,29.2325,1319.2045,1298.2072,1271.5725,-19.5150,1259.0515,-70.4450,-4.9478,-0.0357,-48623821.0775,72.4875,1.9850 
20080709.0000,733598.0000,1252.8175,1254.7825,1266.6125,1237.3800,594943.5000,-30.3207,-98.8497,29.2325,1319.2045,1298.2072,1271.5725,-19.5150,1259.0515,-70.4450,-4.9478,-0.0357,-48623821.0775,72.4875,1.9850 
20080710.0000,733599.0000,1252.8175,1254.7825,1266.6125,1237.3800,594943.5000,-30.3207,-98.8497,29.2325,1319.2045,1298.2072,1271.5725,-19.5150,1259.0515,-70.4450,-4.9478,-0.0357,-48623821.0775,72.4875,1.9850 
20080711.0000,733600.0000,1252.8175,1254.7825,1266.6125,1237.3800,594943.5000,-30.3207,-98.8497,29.2325,1319.2045,1298.2072,1271.5725,-19.5150,1259.0515,-70.4450,-4.9478,-0.0357,-48623821.0775,72.4875,1.9850 
20080714.0000,733603.0000,1237.2225,1232.3500,1248.9200,1219.5825,672558.5000,-31.9101,-94.7610,29.3375,1297.3405,1277.6894,1251.2318,-21.1775,1239.5090,-53.6525,-3.4649,-0.0274,-43211840.3350,71.9425,2.0500 
20080715.0000,733604.0000,1237.2225,1232.3500,1248.9200,1219.5825,672558.5000,-31.9101,-94.7610,29.3375,1297.3405,1277.6894,1251.2318,-21.1775,1239.5090,-53.6525,-3.4649,-0.0274,-43211840.3350,71.9425,2.0500 
20080716.0000,733605.0000,1237.2225,1232.3500,1248.9200,1219.5825,672558.5000,-31.9101,-94.7610,29.3375,1297.3405,1277.6894,1251.2318,-21.1775,1239.5090,-53.6525,-3.4649,-0.0274,-43211840.3350,71.9425,2.0500 
20080717.0000,733606.0000,1237.2225,1232.3500,1248.9200,1219.5825,672558.5000,-31.9101,-94.7610,29.3375,1297.3405,1277.6894,1251.2318,-21.1775,1239.5090,-53.6525,-3.4649,-0.0274,-43211840.3350,71.9425,2.0500 
20080718.0000,733607.0000,1269.9675,1263.9975,1274.6400,1258.1000,579249.5000,-22.6068,79.5880,16.5400,1283.3425,1271.8891,1248.9943,35.9450,1254.7195,4.5575 ,0.8016 ,0.0109 ,-24602250.9910,72.3125,1.9875 
20080721.0000,733610.0000,1269.9675,1263.9975,1274.6400,1258.1000,579249.5000,-22.6068,79.5880,16.5400,1283.3425,1271.8891,1248.9943,35.9450,1254.7195,4.5575 ,0.8016 ,0.0109 ,-24602250.9910,72.3125,1.9875 
20080722.0000,733611.0000,1269.9675,1263.9975,1274.6400,1258.1000,579249.5000,-22.6068,79.5880,16.5400,1283.3425,1271.8891,1248.9943,35.9450,1254.7195,4.5575 ,0.8016 ,0.0109 ,-24602250.9910,72.3125,1.9875 
20080723.0000,733612.0000,1269.9675,1263.9975,1274.6400,1258.1000,579249.5000,-22.6068,79.5880,16.5400,1283.3425,1271.8891,1248.9943,35.9450,1254.7195,4.5575 ,0.8016 ,0.0109 ,-24602250.9910,72.3125,1.9875 
20080724.0000,733613.0000,1251.9675,1257.7175,1267.4350,1243.4950,512443.5000,-16.7009,11.9300,24.4425,1270.0238,1268.0531,1254.9600,-4.6225,1262.7910,-0.8500,-0.0540,0.0159 ,-12332305.2778,72.9125,2.0600 
20080725.0000,733614.0000,1251.9675,1257.7175,1267.4350,1243.4950,512443.5000,-16.7009,11.9300,24.4425,1270.0238,1268.0531,1254.9600,-4.6225,1262.7910,-0.8500,-0.0540,0.0159 ,-12332305.2778,72.9125,2.0600 
20080728.0000,733617.0000,1251.9675,1257.7175,1267.4350,1243.4950,512443.5000,-16.7009,11.9300,24.4425,1270.0238,1268.0531,1254.9600,-4.6225,1262.7910,-0.8500,-0.0540,0.0159 ,-12332305.2778,72.9125,2.0600 
20080729.0000,733618.0000,1251.9675,1257.7175,1267.4350,1243.4950,512443.5000,-16.7009,11.9300,24.4425,1270.0238,1268.0531,1254.9600,-4.6225,1262.7910,-0.8500,-0.0540,0.0159 ,-12332305.2778,72.9125,2.0600 
20080730.0000,733619.0000,1265.2400,1268.8675,1275.0675,1258.1200,505613.2500,-11.1148,42.4889,17.2775,1261.4247,1266.8249,1263.4683,-2.1325,1261.6390,28.0175,2.2944 ,0.0006 ,6499129.7782,73.3425,2.0325 
20080731.0000,733620.0000,1265.2400,1268.8675,1275.0675,1258.1200,505613.2500,-11.1148,42.4889,17.2775,1261.4247,1266.8249,1263.4683,-2.1325,1261.6390,28.0175,2.2944 ,0.0006 ,6499129.7782,73.3425,2.0325 
20080801.0000,733621.0000,1265.2400,1268.8675,1275.0675,1258.1200,505613.2500,-11.1148,42.4889,17.2775,1261.4247,1266.8249,1263.4683,-2.1325,1261.6390,28.0175,2.2944 ,0.0006 ,6499129.7782,73.3425,2.0325 
20080804.0000,733624.0000,1265.2400,1268.8675,1275.0675,1258.1200,505613.2500,-11.1148,42.4889,17.2775,1261.4247,1266.8249,1263.4683,-2.1325,1261.6390,28.0175,2.2944 ,0.0006 ,6499129.7782,73.3425,2.0325 
20080805.0000,733625.0000,1284.1150,1272.9150,1290.2275,1264.2675,409473.0000,-5.2356,93.0792,28.0450,1259.2905,1269.1550,1265.7555,21.8125,1271.5770,14.1475,1.1206 ,0.0212 ,14486778.1875,74.6475,1.9875 
20080806.0000,733626.0000,1284.1150,1272.9150,1290.2275,1264.2675,409473.0000,-5.2356,93.0792,28.0450,1259.2905,1269.1550,1265.7555,21.8125,1271.5770,14.1475,1.1206 ,0.0212 ,14486778.1875,74.6475,1.9875 
20080807.0000,733627.0000,1284.1150,1272.9150,1290.2275,1264.2675,409473.0000,-5.2356,93.0792,28.0450,1259.2905,1269.1550,1265.7555,21.8125,1271.5770,14.1475,1.1206 ,0.0212 ,14486778.1875,74.6475,1.9875 
20080808.0000,733628.0000,1284.1150,1272.9150,1290.2275,1264.2675,409473.0000,-5.2356,93.0792,28.0450,1259.2905,1269.1550,1265.7555,21.8125,1271.5770,14.1475,1.1206 ,0.0212 ,14486778.1875,74.6475,1.9875 
20080811.0000,733631.0000,1293.4175,1292.4900,1303.0200,1282.1875,465755.0000,1.5181 ,102.0262,20.9650,1263.4244,1276.6175,1279.2905,22.5700,1290.0695,41.4500,3.3168 ,0.0190 ,19136962.8575,76.3525,2.0025 
20080812.0000,733632.0000,1293.4175,1292.4900,1303.0200,1282.1875,465755.0000,1.5181 ,102.0262,20.9650,1263.4244,1276.6175,1279.2905,22.5700,1290.0695,41.4500,3.3168 ,0.0190 ,19136962.8575,76.3525,2.0025 
20080813.0000,733633.0000,1293.4175,1292.4900,1303.0200,1282.1875,465755.0000,1.5181 ,102.0262,20.9650,1263.4244,1276.6175,1279.2905,22.5700,1290.0695,41.4500,3.3168 ,0.0190 ,19136962.8575,76.3525,2.0025 
20080814.0000,733634.0000,1293.4175,1292.4900,1303.0200,1282.1875,465755.0000,1.5181 ,102.0262,20.9650,1263.4244,1276.6175,1279.2905,22.5700,1290.0695,41.4500,3.3168 ,0.0190 ,19136962.8575,76.3525,2.0025 
20080815.0000,733635.0000,1279.5075,1283.9950,1288.7325,1272.3800,414647.5000,2.2189 ,-1.5716,16.8400,1269.5710,1279.5542,1286.6775,-9.8175,1287.5115,14.2675,1.1302 ,0.0055 ,20801647.8418,76.9975,1.9775 
20080818.0000,733638.0000,1279.5075,1283.9950,1288.7325,1272.3800,414647.5000,2.2189 ,-1.5716,16.8400,1269.5710,1279.5542,1286.6775,-9.8175,1287.5115,14.2675,1.1302 ,0.0055 ,20801647.8418,76.9975,1.9775 
20080819.0000,733639.0000,1279.5075,1283.9950,1288.7325,1272.3800,414647.5000,2.2189 ,-1.5716,16.8400,1269.5710,1279.5542,1286.6775,-9.8175,1287.5115,14.2675,1.1302 ,0.0055 ,20801647.8418,76.9975,1.9775 
20080820.0000,733640.0000,1279.5075,1283.9950,1288.7325,1272.3800,414647.5000,2.2189 ,-1.5716,16.8400,1269.5710,1279.5542,1286.6775,-9.8175,1287.5115,14.2675,1.1302 ,0.0055 ,20801647.8418,76.9975,1.9775 
20080821.0000,733641.0000,1277.0675,1276.5400,1285.1525,1267.7225,369545.7500,0.4439 ,-44.2288,17.8625,1274.7988,1278.6662,1283.8890,-11.8225,1277.3150,-7.0475,-0.5442,-0.0133,2834440.8180,76.7250,1.9800 
20080822.0000,733642.0000,1277.0675,1276.5400,1285.1525,1267.7225,369545.7500,0.4439 ,-44.2288,17.8625,1274.7988,1278.6662,1283.8890,-11.8225,1277.3150,-7.0475,-0.5442,-0.0133,2834440.8180,76.7250,1.9800 
20080825.0000,733645.0000,1277.0675,1276.5400,1285.1525,1267.7225,369545.7500,0.4439 ,-44.2288,17.8625,1274.7988,1278.6662,1283.8890,-11.8225,1277.3150,-7.0475,-0.5442,-0.0133,2834440.8180,76.7250,1.9800 
20080826.0000,733646.0000,1277.0675,1276.5400,1285.1525,1267.7225,369545.7500,0.4439 ,-44.2288,17.8625,1274.7988,1278.6662,1283.8890,-11.8225,1277.3150,-7.0475,-0.5442,-0.0133,2834440.8180,76.7250,1.9800 
20080827.0000,733647.0000,1285.6875,1284.8500,1296.5900,1277.1900,385639.2500,1.0437 ,27.0008,20.7050,1277.0414,1279.8833,1279.8763,14.2400,1281.0300,-7.7300,-0.6936,0.0013 ,14135290.9563,77.3850,1.9675 
20080828.0000,733648.0000,1285.6875,1284.8500,1296.5900,1277.1900,385639.2500,1.0437 ,27.0008,20.7050,1277.0414,1279.8833,1279.8763,14.2400,1281.0300,-7.7300,-0.6936,0.0013 ,14135290.9563,77.3850,1.9675 
20080829.0000,733649.0000,1285.6875,1284.8500,1296.5900,1277.1900,385639.2500,1.0437 ,27.0008,20.7050,1277.0414,1279.8833,1279.8763,14.2400,1281.0300,-7.7300,-0.6936,0.0013 ,14135290.9563,77.3850,1.9675 
20080902.0000,733653.0000,1285.6875,1284.8500,1296.5900,1277.1900,385639.2500,1.0437 ,27.0008,20.7050,1277.0414,1279.8833,1279.8763,14.2400,1281.0300,-7.7300,-0.6936,0.0013 ,14135290.9563,77.3850,1.9675 
20080903.0000,733654.0000,1255.4775,1257.7800,1267.9400,1240.6925,565947.5000,-3.2130,-140.8107,29.2450,1278.3719,1275.0363,1274.8450,-28.6925,1270.2325,-24.0300,-1.4866,-0.0174,10938.2359,78.8625,1.9725 
20080904.0000,733655.0000,1255.4775,1257.7800,1267.9400,1240.6925,565947.5000,-3.2130,-140.8107,29.2450,1278.3719,1275.0363,1274.8450,-28.6925,1270.2325,-24.0300,-1.4866,-0.0174,10938.2359,78.8625,1.9725 
20080905.0000,733656.0000,1255.4775,1257.7800,1267.9400,1240.6925,565947.5000,-3.2130,-140.8107,29.2450,1278.3719,1275.0363,1274.8450,-28.6925,1270.2325,-24.0300,-1.4866,-0.0174,10938.2359,78.8625,1.9725 
20080908.0000,733659.0000,1255.4775,1257.7800,1267.9400,1240.6925,565947.5000,-3.2130,-140.8107,29.2450,1278.3719,1275.0363,1274.8450,-28.6925,1270.2325,-24.0300,-1.4866,-0.0174,10938.2359,78.8625,1.9725 
20080909.0000,733660.0000,1239.3250,1242.6000,1254.4075,1222.8650,676664.5000,-9.3680,-108.5853,31.5425,1274.4075,1264.0332,1260.2528,-28.7300,1244.5345,-37.7425,-3.0223,-0.0349,-1384546.8818,79.6325,2.0450 
20080910.0000,733661.0000,1239.3250,1242.6000,1254.4075,1222.8650,676664.5000,-9.3680,-108.5853,31.5425,1274.4075,1264.0332,1260.2528,-28.7300,1244.5345,-37.7425,-3.0223,-0.0349,-1384546.8818,79.6325,2.0450 
20080911.0000,733662.0000,1239.3250,1242.6000,1254.4075,1222.8650,676664.5000,-9.3680,-108.5853,31.5425,1274.4075,1264.0332,1260.2528,-28.7300,1244.5345,-37.7425,-3.0223,-0.0349,-1384546.8818,79.6325,2.0450 
