Date,Ntime,Open Price,High Price,Low price,Closing Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20080701,733590,4039.75,4075.4,3878.2,3896.75,164469220,-201.56,-180.03,197.2,4409.04,4385.058946,4128.49,4253.415,-369.65,-620.35,-13.73336875,-0.149626833,-828023961,72.34,8.706
20080702,733591,3895.3,4107.15,3848.25,4093.35,199920144,-199.63,-131.91,258.9,4384.43,4357.277142,4096.63,4204.51,-97.75,-479.15,-10.47895025,-0.091224954,-561033032,71.99,7.73
20080703,733592,4094.6,4097.35,3874.85,3925.75,154573765,-209.21,-129.55,222.5,4346.87,4316.179319,4018.61,4146.66,-326.9,-727.25,-15.62970127,-0.097020161,-726253640.3,72.73,6.4
20080704,733593,3926.65,4033.5,3896.4,4016,152045352,-207.14,-111.08,137.1,4316.28,4287.590812,3994.48,4113.505,-299.85,-566.4,-12.3603352,-0.058691168,-548766472.1,72.71,6.21
20080707,733596,4002,4114.5,4002,4030,125737237,-202.03,-80.86,112.5,4292.73,4263.058354,3992.37,4089.865,-106.65,-474.25,-10.52894489,-0.038438596,-486195115.1,72.71,9
20080708,733597,4028.7,4028.7,3896.05,3988.55,135090953,-199.04,-95.4,133.95,4269.67,4236.914701,4010.73,4069.61,-52,-359,-8.257524353,-0.062102454,-403676976.1,72.96,9.03
20080709,733598,3990.9,4169.4,3990.9,4157.1,144597409,-180.98,-47.72,180.85,4251.34,4229.313301,4023.48,4060.055,260.35,-109.3,-2.561878867,-0.036783021,-367957785.4,72.59,9.07
20080710,733599,4155.65,4187.95,4110.4,4162.2,146458190,-164.36,-28.16,77.55,4232.49,4222.921558,4070.77,4044.69,68.85,-28.9,-0.689556441,0.006138581,-302822117.5,72.49,9.05
20080711,733600,4166,4215.5,4014.45,4049,137337875,-158.5,-44.54,201.05,4209.08,4206.3576,4077.37,4035.925,123.25,-203.65,-4.788778761,0.002086935,-280377888,71.91,9.06
20080714,733603,4047.45,4118.1,4004.25,4039.7,126882896,-152.84,-54.07,113.85,4182.44,4190.485448,4079.31,4035.84,23.7,-276.15,-6.398507826,0.035386291,-210829900.6,71.96,8.96
20080715,733604,4039.3,4040.7,3835.5,3861.1,142682247,-160.91,-106.45,205.2,4142.85,4159.115405,4053.82,4032.275,-168.9,-275.55,-6.661187193,-0.056738368,-457726760.3,71.7,9
20080716,733605,3861.55,3920.05,3790.2,3816.7,185428595,-168.94,-133.92,129.85,4104.56,4126.504414,3985.74,4004.61,-171.85,-223.85,-5.540087364,-0.027778132,-537314621.6,72.06,9
20080717,733606,3823.15,3968.75,3823.15,3947.2,180239171,-162.9,-95.7,152.05,4076.71,4109.427803,3942.74,4006.755,-209.9,50.45,1.294668634,-0.017131474,-340342120.8,72.05,9
20080718,733607,3962.95,4110.55,3926.3,4092.25,175068345,-144.74,-14.64,184.25,4063.94,4107.791822,3951.39,4014.38,-69.95,-1.1,-0.026872855,0.015211681,-267033693.5,72.17,9.01
20080721,733610,4092.2,4168.15,4072.75,4159.5,136720904,-123.5,53.47,95.4,4058.6,4112.71641,3975.35,4027.33,110.5,233.75,5.954276253,0.04109869,-254956265.4,71.84,9.52
20080722,733611,4158.45,4262.45,4137.95,4240.1,165666075,-99.02,110.66,124.5,4061.05,4124.848181,4051.15,4052.485,200.4,224.1,5.580179283,0.01957501,-58557620.23,72.43,9.59
20080723,733612,4246.7,4491.55,4246.7,4476.8,233619126,-59.83,214.34,251.45,4072.26,4158.367402,4183.17,4084.455,615.7,446.8,11.08684864,0.07027341,243752794.4,72.81,9.71
20080724,733613,4476.2,4539.45,4385.85,4433.55,177026127,-31.89,220.6,153.6,4078.14,4184.575268,4280.44,4111.59,616.85,445,11.15693673,0.086736363,300151485.9,72.85,9.49
