Ntime,Matlab_time,Close
20100930,734411,22328
20101004,734415,22630
20101005,734416,22700
20101006,734417,22920
20101007,734418,22969
20101008,734419,22891
20101011,734422,23280
20101012,734423,23126
20101013,734424,23581
20101014,734425,23874
20101015,734426,23738
20101018,734429,23488
20101019,734430,23810
20101020,734431,23554
20101021,734432,23668
20101022,734433,23485
20101025,734436,23707
20101026,734437,23617
20101027,734438,23109
20101028,734439,23205
20101029,734440,22973
20101101,734443,23636
20101102,734444,23677
20101103,734445,24065
20101104,734446,24533
20101105,734447,24789
20101108,734450,24878
20101109,734451,24685
20101110,734452,24408
20101111,734453,24695
20101112,734454,24186
20101115,734457,23955
20101116,734458,23595
20101117,734459,23175
20101118,734460,23537
20101119,734461,23648
20101122,734464,23575
20101123,734465,22951
20101124,734466,22930
20101125,734467,23038
20101126,734468,22860
20101129,734471,22912
20101130,734472,23028
20101201,734473,23259
20101202,734474,23390
20101203,734475,23270
20101206,734478,23173
20101207,734479,23459
20101208,734480,23075
20101209,734481,23147
20101210,734482,23188
20101213,734485,23315
20101214,734486,23390
20101215,734487,22950
20101216,734488,22552
20101217,734489,22672
20101220,734492,22698
20101221,734493,22960
20101222,734494,23110
20101223,734495,22890
20101224,734496,22803
20101228,734500,22633
20101229,734501,23006
20101230,734502,22981
20101231,734503,23020
20110103,734506,23386
20110104,734507,23670
20110105,734508,23754
20110106,734509,23806
20110107,734510,23736
20110110,734513,23517
20110111,734514,23777
20110112,734515,24223
20110113,734516,24265
20110114,734517,24348
20110117,734520,24214
20110118,734521,24190
20110119,734522,24394
20110120,734523,24024
20110121,734524,23871
20110124,734527,23811
20110125,734528,23781
20110126,734529,23858
20110127,734530,23779
20110128,734531,23647
20110131,734534,23371
20110201,734535,23466
20110202,734536,23955
20110207,734541,23515
20110208,734542,23391
20110209,734543,23073
20110210,734544,22718
20110211,734545,22740
20110214,734548,23079
20110215,734549,22920
20110216,734550,23090
20110217,734551,23285
20110218,734552,23580
20110221,734555,23447
20110222,734556,22942
20110223,734557,22939
20110224,734558,22650
20110225,734559,22920
20110228,734562,23298
20110301,734563,23380
20110302,734564,22940
20110303,734565,22998
20110304,734566,23319
20110307,734569,23319
20110308,734570,23740
20110309,734571,23760
20110310,734572,23640
20110311,734573,23212
20110314,734576,23273
20110315,734577,22562
20110316,734578,22611
20110317,734579,22168
20110318,734580,22259
20110321,734583,22611
20110322,734584,22814
20110323,734585,22810
20110324,734586,22937
20110325,734587,23182
20110328,734590,23070
20110329,734591,23070
20110330,734592,23402
20110331,734593,23515
20110401,734594,23841
20110404,734597,24185
20110406,734599,24294
20110407,734600,24302
20110408,734601,24416
20110411,734604,24345
20110412,734605,23968
20110413,734606,24117
20110414,734607,24013
20110415,734608,23962
20110418,734611,23779
20110419,734612,23435
20110420,734613,23880
20110421,734614,24102
20110426,734619,23956
20110427,734620,23825
20110428,734621,23953
20110429,734622,23485
20110503,734626,23394
20110504,734627,23060
