Date,Ntime,close price
20100930,734411,6018.5
20101001,734412,6180
20101004,734415,6178
20101005,734416,6173.5
20101006,734417,6214
20101007,734418,6142.5
20101008,734419,6136.25
20101011,734422,6151.5
20101012,734423,6109.5
20101013,734424,6273.25
20101014,734425,6189.25
20101015,734426,6081.25
20101018,734429,6133.5
20101019,734430,6014.75
20101020,734431,6007
20101021,734432,6122.75
20101022,734433,6086
20101025,734436,6131.75
20101026,734437,6129.75
20101027,734438,6062.75
20101028,734439,6062.75
20101029,734440,6032.25
20101101,734443,6151.75
20101102,734444,6149
20101103,734445,6205
20101104,734446,6314.5
20101105,734447,6325.05
20101108,734450,6299.25
20101109,734451,6354.5
20101110,734452,6305.75
20101111,734453,6233.5
20101112,734454,6078.25
20101115,734457,6128.5
20101116,734458,5978.75
20101118,734460,6030.75
20101119,734461,5884.25
20101122,734464,5998.25
20101123,734465,5931.25
20101124,734466,5857.25
20101125,734467,5851.25
20101126,734468,5759.25
20101129,734471,5847.75
20101130,734472,5878.5
20101201,734473,5976.25
20101202,734474,6023
20101203,734475,6014.25
20101206,734478,5982.75
20101207,734479,6016.5
20101208,734480,5917.75
20101209,734481,5784.25
20101210,734482,5873
20101213,734485,5927.25
20101214,734486,5955.25
20101215,734487,5894.5
20101216,734488,5953.5
20101220,734492,5949
20101221,734493,6008.5
20101222,734494,5997.5
20101223,734495,5998
20101224,734496,6041
20101227,734499,6004.75
20101228,734500,6005.5
20101229,734501,6117.75
20101230,734502,6130.25
20101231,734503,6165
20110103,734506,6188.25
20110104,734507,6149.25
20110105,734508,6097.5
20110106,734509,6072.75
20110107,734510,5895.25
20110110,734513,5750
20110111,734514,5798.75
20110112,734515,5876.75
20110113,734516,5758.5
20110114,734517,5653.75
20110117,734520,5662.75
20110118,734521,5729.25
20110119,734522,5701.5
20110120,734523,5707.75
20110121,734524,5703.5
20110124,734527,5739.25
20110125,734528,5682.25
20110127,734530,5619.75
20110128,734531,5538
20110131,734534,5525
20110201,734535,5421
20110202,734536,5426.75
20110203,734537,5533.25
20110204,734538,5378
20110207,734541,5399.5
20110208,734542,5309.25
20110209,734543,5276
20110210,734544,5216.75
20110211,734545,5315.75
20110214,734548,5444
20110215,734549,5479.75
20110216,734550,5493.75
20110217,734551,5553.25
20110218,734552,5463.25
20110221,734555,5516.5
20110222,734556,5465.5
20110223,734557,5441
20110224,734558,5279.75
20110225,734559,5321
20110228,734562,5342
20110301,734563,5549.75
20110303,734565,5546.5
20110304,734566,5544
20110307,734569,5488
20110308,734570,5537.75
20110309,734571,5526.25
20110310,734572,5507.25
20110311,734573,5460
20110314,734576,5554.75
20110315,734577,5447.5
20110316,734578,5534.75
20110317,734579,5473.5
20110318,734580,5377.5
20110321,734583,5391
20110322,734584,5437.75
20110323,734585,5502.25
20110324,734586,5555.5
20110325,734587,5678.75
20110328,734590,5732.5
20110329,734591,5782.25
20110330,734592,5857.75
20110331,734593,5872
20110401,734594,5867.5
20110404,734597,5944.5
20110405,734598,5928.75
20110406,734599,5904.75
20110407,734600,5897.5
20110408,734601,5859.75
20110411,734604,5793.5
20110413,734606,5948.25
20110415,734608,5830.75
20110418,734611,5732.25
20110419,734612,5751.5
20110420,734613,5873.75
20110421,734614,5909.75
20110425,734618,5872.75
20110426,734619,5867.25
20110427,734620,5832.75
20110428,734621,5808.5
20110429,734622,5743
20110502,734625,5713.5
20110503,734626,5557.5
20110504,734627,5534.75
20110505,734628,5434.5
20110506,734629,5551
20110509,734632,5550.5
20110510,734633,5539.25
20110511,734634,5550.75
20110512,734635,5470.75
20110513,734636,5576
20110516,734639,5479
20110517,734640,5450.25
20110518,734641,5426.25
20110519,734642,5432.75
20110520,734643,5477.5
20110523,734646,5379.25
20110524,734647,5387.5
20110525,734648,5346.75
20110526,734649,5390.25
20110527,734650,5470.25
20110530,734653,5462.5
20110531,734654,5554.5
20110601,734655,5594.5
20110602,734656,5559.5
20110603,734657,5533
20110606,734660,5536
20110607,734661,5561.25
20110608,734662,5525
20110609,734663,5520.5
20110610,734664,5486.25
20110613,734667,5492.75
20110614,734668,5518
20110615,734669,5450.25
20110616,734670,5396.25
20110617,734671,5364.75
20110620,734674,5258.75
20110621,734675,5273.75
20110622,734676,5285.25
20110623,734677,5319.25
20110624,734678,5482.25
20110627,734681,5553.5
20110628,734682,5568.25
20110629,734683,5639.5
20110630,734684,5651.25
20110701,734685,5629.75
20110704,734688,5664.5
20110705,734689,5654.75
20110706,734690,5635.75
20110707,734691,5751.25
20110708,734692,5657.5
20110711,734695,5618.5
20110712,734696,5525.5
20110713,734697,5607
20110714,734698,5583.25
20110715,734699,5588
20110718,734702,5566.5
20110719,734703,5623
20110720,734704,5570.5
20110721,734705,5547.5
20110722,734706,5643.25
20110725,734709,5710.25
20110726,734710,5574.75
20110727,734711,5554.25
20110728,734712,5496.25
20110729,734713,5484
20110801,734716,5528.75
20110802,734717,5462.5
20110803,734718,5422.75
20110804,734719,5336
20110805,734720,5209.5
20110808,734723,5128.75
20110809,734724,5088.25
20110810,734725,5141
20110811,734726,5119.75
20110812,734727,5081.25
20110816,734731,5040.5
20110817,734732,5071.5
20110818,734733,4925.5
20110819,734734,4842.5
20110822,734737,4925.75
20110823,734738,4956.75
20110824,734739,4879
20110825,734740,4863.75
20110826,734741,4743.25
20110829,734744,4945
20110830,734745,5009.5
20110902,734748,5042.75
20110905,734751,5008.75
20110906,734752,5059
20110907,734753,5112.5
20110908,734754,5161
20110909,734755,5034.25
20110912,734758,4947.25
20110913,734759,4940.75
20110914,734760,5029.75
20110915,734761,5095.75
20110916,734762,5081.75
20110919,734765,5041.5
20110920,734766,5166.5
20110921,734767,5136
20110922,734768,4900.75
20110923,734769,4853.25
20110926,734772,4858.75
20110927,734773,4999
20110928,734774,4936.5
20110929,734775,5035
20110930,734776,4921.5
20111003,734779,4861.25
20111004,734780,4771.25
20111005,734781,4764.75
20111007,734783,4886.25
20111010,734786,4993.75
20111011,734787,4981
20111012,734788,5112.75
20111013,734789,5063.25
20111014,734790,5133
20111017,734793,5122.25
20111018,734794,5048.25
20111019,734795,5149
20111020,734796,5106.5
20111021,734797,5062.5
20111024,734800,5122.5
20111025,734801,5247.75
20111026,734802,5283.75
20111028,734804,5382.75
20111031,734807,5347.5
20111101,734808,5275
20111102,734809,5300.25
20111103,734810,5299.25
20111104,734811,5316
20111108,734815,5306.75
20111109,734816,5227
20111111,734818,5195
20111114,734821,5143.75
20111115,734822,5053.5
20111116,734823,5076.75
20111117,734824,4918.25
20111118,734825,4920.75
20111121,734828,4787
20111122,734829,4818
20111123,734830,4713
20111124,734831,4776.25
20111125,734832,4703.5
20111128,734835,4874.25
20111129,734836,4804.25
20111130,734837,4836.25
20111201,734838,4962.75
20111202,734839,5086.75
20111205,734842,5068.25
20111207,734844,5063.75
20111208,734845,4947.5
20111209,734846,4871
20111212,734849,4756.25
20111213,734850,4830.5
20111214,734851,4758.75
20111215,734852,4759.75
20111216,734853,4617.75
20111219,734856,4606.75
20111220,734857,4555.75
20111221,734858,4716.75
20111222,734859,4745.75
20111223,734860,4718.5
20111226,734863,4718.5
20111227,734864,4772.5
20111228,734865,4717.25
20111229,734866,4671.75
20111230,734867,4616.25
20120102,734870,4641
20120103,734871,4772.25
20120104,734872,4750.5
20120105,734873,4743.25
20120106,734874,4775.25
20120107,734875,4760
20120109,734877,4748.75
20120110,734878,4867
20120111,734879,4870.25
20120112,734880,4863.75
20120113,734881,4885.5
20120116,734884,4888.75
