Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Interbank Offered Rate
20080701,733590,13514.86,13463.2,13576.41,13448.35,1214337792,-114.3016494,-120.2297606,128.06,14050.21462,13897.55719,13628.236,13837.328,-394.27,-510.53,-3.653498386,-0.06847245036,-12411696.68,72.34,0.60333
20080702,733591,13489.87,13286.37,13489.87,13247.05,1365464704,-147.1170425,-133.0365799,242.82,14026.87077,13839.34889,13519.526,13720.683,-563.19,-1068,-7.440242936,-0.05971619591,-35771421.01,71.99,0.60333
20080703,733592,13161.78,13265.4,13326.95,13118.89,1542018688,-172.8233813,-131.20823,208.06,14009.79231,13784.68709,13408.142,13634.206,-564.52,-1082.97,-7.547686601,-0.04853508228,-41740612.57,72.73,0.6025
20080704,733593,13285.49,13237.89,13288.55,13135.46,1173963776,-193.1887079,-114.108852,153.09,13975.69308,13732.61117,13346.848,13563.787,-584.43,-1214.93,-8.406179555,-0.04471090322,-50940760.79,72.71,0.6025
20080707,733596,13212.8,13360.04,13409.3,13169.55,1070972288,-197.1987079,-81.35462064,239.75,13938.05846,13697.12821,13322.58,13514.044,-184.32,-770.13,-5.450252899,-0.03534552722,-38095767.52,72.71,0.6025
20080708,733597,13286.5,13033.1,13294.97,12984.54,1217872640,-224.1738508,-116.4716777,375.5,13883.94154,13633.88742,13236.56,13432.398,-448.28,-908.98,-6.519687163,-0.05761566227,-63107166.44,72.96,0.6025
20080709,733598,13169.89,13052.13,13284.65,13038.77,1229265152,-241.2354716,-103.4724696,251.55,13839.44,13578.48195,13189.712,13354.619,-411.07,-805.34,-5.811594757,-0.05572074731,-63000357.63,72.59,0.60167
20080710,733599,12934.31,13067.21,13139.85,12930.32,1201250816,-250.6507532,-108.2994576,209.53,13786.81077,13529.78939,13150.074,13279.108,-219.16,-782.35,-5.648915922,-0.03522868559,-49868438.54,72.49,0.60167
20080711,733600,13063.5,13039.69,13164.1,12918.22,1462564480,-257.3663071,-96.91952859,245.88,13736.75577,13483.11326,13110.434,13228.641,-225.71,-790.23,-5.713915916,-0.0327629664,-44165587.55,71.91,0.60167
20080714,733603,13022.29,13010.16,13185.9,12969.93,1238215808,-262.0505011,-85.27113328,215.97,13679.86038,13438.07009,13040.458,13181.519,-227.73,-812.16,-5.875714062,-0.0336502466,-35211658.84,71.96,0.60167
20080715,733604,12902.13,12754.56,12902.13,12715.81,1187817728,-283.1238667,-148.7816889,294.35,13624.98269,13372.97389,12984.75,13110.655,-605.48,-789.8,-5.831209448,-0.04002673416,-47616578.22,71.7,0.60083
20080716,733605,12725.12,12760.8,12815.4,12671.34,1223962368,-295.9100778,-147.7125422,144.06,13576.50692,13314.67161,12926.484,13058.098,-272.3,-720.58,-5.345001773,-0.03803880773,-35774159.61,72.06,0.60083
20080717,733606,12889.8,12887.95,12929.74,12852.93,1110703744,-292.41255,-88.92771255,168.94,13526.67885,13274.03146,12890.632,13020.353,-164.18,-575.25,-4.272758334,-0.02643472638,-32311446.19,72.05,0.60083
20080718,733607,12976.22,12803.7,12999.64,12762.33,1132153984,-293.0607826,-91.04784457,237.31,13484.95192,13229.23799,12843.434,12976.934,-263.51,-482.67,-3.632820703,-0.04164209089,-51206423.05,72.17,0.6
20080722,733611,12944.56,13184.96,13184.96,12921.02,1123587072,-259.81503,16.32245983,381.26,13454.61462,13225.02104,12878.394,12959.426,174.8,-52.93,-0.3998371342,0.01151766862,-36073801.32,72.43,0.6
20080723,733612,13259.65,13312.93,13388.63,13238.55,1272721408,-220.5984999,119.3213582,203.67,13414.55923,13233.39332,12990.068,12987.409,558.37,-47.11,-0.3526187047,0.01958997756,-41515983.01,72.81,0.6025
20080724,733613,13411.28,13603.31,13603.31,13393.57,1262193280,-164.1951386,185.2337556,290.38,13385.90308,13268.62348,13158.57,13042.527,842.51,570.21,4.375091114,0.03940952606,-19998509.05,72.85,0.60167
20080725,733614,13452.37,13334.76,13469.83,13324.22,1096224768,-139.5560934,108.9107266,279.09,13342.90077,13274.9222,13247.932,13069.282,446.81,282.63,2.165393694,0.02212788232,-18501019.52,72.81,0.6025
